date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:07:32	483/483	---M--	200	added ('OK')	text/plain	etag:W/%221e3-Zvhxyb0e/s0tfh8v+u1GjxNb5Ww%22	https://darrenjames2223.wixsite.com/robots.txt		(from )
06:07:33	617561/617561	---MCZ	200	added ('OK')	text/html	etag:W/%2269bb50a60308710b70b4994c1db3d9ef%22	https://darrenjames2223.wixsite.com/harry-potter-xii2/	C:/My%20Web%20Sites/harrypotter/darrenjames2223.wixsite.com/harry-potter-xii2/index.html	(from )
06:07:33	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/harrypotter/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/)
06:07:34	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/harrypotter/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/)
06:07:34	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2031%20Jan%202025%2023:07:32%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/harrypotter/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/)
06:07:35	2486/2486	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2031%20Jan%202025%2023:07:34%20GMT	https://darrenjames2223.wixsite.com/harry-potter-xii2/s	C:/My%20Web%20Sites/harrypotter/darrenjames2223.wixsite.com/harry-potter-xii2/s.3.delayed	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/)
06:07:36	2485/2485	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2031%20Jan%202025%2023:07:34%20GMT	https://darrenjames2223.wixsite.com/harry-potter-xii2/t	C:/My%20Web%20Sites/harrypotter/darrenjames2223.wixsite.com/harry-potter-xii2/t.4.delayed	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/)
06:07:38	630737/630737	---MCZ	200	added ('OK')	text/html	etag:W/%22845e636a01dd8d5ea1016da246c41991%22	https://darrenjames2223.wixsite.com/harry-potter-xii2/copy-of-home	C:/My%20Web%20Sites/harrypotter/darrenjames2223.wixsite.com/harry-potter-xii2/copy-of-home.html	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/)
06:07:39	597449/597449	---MCZ	200	added ('OK')	text/html	etag:W/%2271c5fbee3ea56712dd9392e6d99be006%22	https://darrenjames2223.wixsite.com/harry-potter-xii2/copy-of-cast	C:/My%20Web%20Sites/harrypotter/darrenjames2223.wixsite.com/harry-potter-xii2/copy-of-cast.html	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/)
06:07:40	640052/640052	---MCZ	200	added ('OK')	text/html	etag:W/%22a2f28e782941f953090676e567a9417b%22	https://darrenjames2223.wixsite.com/harry-potter-xii2/copy-of-synopsis	C:/My%20Web%20Sites/harrypotter/darrenjames2223.wixsite.com/harry-potter-xii2/copy-of-synopsis.html	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/)
06:07:41	1450/1450	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Jan%202025%2023:07:40%20GMT	https://static.wixstatic.com/media/2feeec_e502eb131cfd4b9cb2761ff76cecc54ff000.jpg/v1/fill/w_147,h_61,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/2feeec_e502eb131cfd4b9cb2761ff76cecc54ff000.jpg	C:/My%20Web%20Sites/harrypotter/static.wixstatic.com/media/2feeec_e502eb131cfd4b9cb2761ff76cecc54ff000.jpg/v1/fill/w_147,h_61,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/2feeec_e502eb131cfd4b9cb2761ff76cecc54ff000.jpg	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/)
06:07:41	598051/598051	---MCZ	200	added ('OK')	text/html	etag:W/%223bc8796eae571c24fd4f9e98051f406f%22	https://darrenjames2223.wixsite.com/harry-potter-xii2/copy-of-synopsis-1	C:/My%20Web%20Sites/harrypotter/darrenjames2223.wixsite.com/harry-potter-xii2/copy-of-synopsis-1.html	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/)
06:07:41	2696/2696	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Jan%202025%2023:07:40%20GMT	https://static.wixstatic.com/media/7817a7_1dbfd4a6b08f4ffdad352c192433909d~mv2.jpg/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/7817a7_1dbfd4a6b08f4ffdad352c192433909d~mv2.jpg	C:/My%20Web%20Sites/harrypotter/static.wixstatic.com/media/7817a7_1dbfd4a6b08f4ffdad352c192433909d_mv2.jpg/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/7817a7_1dbfd4a6b08f4ffdad352c192433909d_mv2.jpg	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/)
06:07:42	69345/69345	---M--	200	added ('OK')	image/png	date:Fri,%2031%20Jan%202025%2023:07:41%20GMT	https://static.wixstatic.com/media/7817a7_6729818ce01b49139beecfcd719c1672~mv2.png/v1/fill/w_600,h_201,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/logo%20hp.png	C:/My%20Web%20Sites/harrypotter/static.wixstatic.com/media/7817a7_6729818ce01b49139beecfcd719c1672_mv2.png/v1/fill/w_600,h_201,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/logo%20hp.png	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/)
06:07:42	25545/25545	---M-Z	200	added ('OK')	application/javascript	etag:W/%22deae894670b81e2b7527b0ff4d11c80a%22	https://static.parastorage.com/services/wix-thunderbolt/dist/8875.4f0e86e1.bundle.min.js	C:/My%20Web%20Sites/harrypotter/static.parastorage.com/services/wix-thunderbolt/dist/8875.4f0e86e1.bundle.min.js	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/)
06:07:42	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/My%20Web%20Sites/harrypotter/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/)
06:07:43	2483/2483	---MCZ	400	error ('Bad%20Request')	text/html	date:Fri,%2031%20Jan%202025%2023:07:42%20GMT	https://darrenjames2223.wixsite.com/harry-potter-xii2/robots.txt	C:/My%20Web%20Sites/harrypotter/darrenjames2223.wixsite.com/harry-potter-xii2/robots.e.delayed	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/)
06:07:44	2486/2486	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2031%20Jan%202025%2023:07:43%20GMT	https://darrenjames2223.wixsite.com/harry-potter-xii2/sitemap.xml	C:/My%20Web%20Sites/harrypotter/darrenjames2223.wixsite.com/harry-potter-xii2/sitemap.f.delayed	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/)
06:07:45	2485/2485	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2031%20Jan%202025%2023:07:43%20GMT	https://darrenjames2223.wixsite.com/harry-potter-xii2/feed.xml	C:/My%20Web%20Sites/harrypotter/darrenjames2223.wixsite.com/harry-potter-xii2/feed.10.delayed	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/)
06:07:45	124476/124476	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e4c1ab124cc66a5d8013c4302640702a%22	https://static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.569be6c3.bundle.min.js	C:/My%20Web%20Sites/harrypotter/static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.569be6c3.bundle.min.js	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/)
06:07:45	256617/256617	---M-Z	200	added ('OK')	application/javascript	etag:W/%2274239bee453d86fb7bb40c753dfeaecf%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.b0d83c2c.bundle.min.js	C:/My%20Web%20Sites/harrypotter/static.parastorage.com/services/wix-thunderbolt/dist/main.b0d83c2c.bundle.min.js	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/)
06:07:45	152/152	---M--	200	added ('OK')	application/javascript	etag:%2217dc6142a5674dc31c4e4ac8ab3502fc%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.a20626f8.bundle.min.js	C:/My%20Web%20Sites/harrypotter/static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.a20626f8.bundle.min.js	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/)
06:07:45	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/My%20Web%20Sites/harrypotter/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/)
06:07:46	10751/10751	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e91b2616629791b375867c298dc846cc%22	https://static.parastorage.com/unpkg/react@18.3.1/umd/react.production.min.js	C:/My%20Web%20Sites/harrypotter/static.parastorage.com/unpkg/react@18.3.1/umd/react.production.min.js	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/)
06:07:46	131835/131835	---M-Z	200	added ('OK')	application/javascript	etag:W/%227d4842a904e5d5d1b19240075998b111%22	https://static.parastorage.com/unpkg/react-dom@18.3.1/umd/react-dom.production.min.js	C:/My%20Web%20Sites/harrypotter/static.parastorage.com/unpkg/react-dom@18.3.1/umd/react-dom.production.min.js	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/)
06:07:46	6088/6088	---M-Z	200	added ('OK')	application/javascript	etag:W/%220022d406fbbd37299590c9dfcb9e8438%22	https://static.parastorage.com/services/wix-thunderbolt/dist/browser-deprecation.bundle.es5.js	C:/My%20Web%20Sites/harrypotter/static.parastorage.com/services/wix-thunderbolt/dist/browser-deprecation.bundle.es5.js	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/)
06:07:47	2482/2482	---MCZ	400	error ('Bad%20Request')	text/html	date:Fri,%2031%20Jan%202025%2023:07:46%20GMT	https://darrenjames2223.wixsite.com/harry-potter-xii2/decodeURIComponent(e	C:/My%20Web%20Sites/harrypotter/darrenjames2223.wixsite.com/harry-potter-xii2/decodeURIComponent(e.18.delayed	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/)
06:07:47	9582/9582	---M-Z	200	added ('OK')	application/javascript	etag:W/%226f1af620740f6e8d6851e2794ba694d0%22	https://static.parastorage.com/services/tag-manager-client/1.920.0/siteTags.bundle.min.js	C:/My%20Web%20Sites/harrypotter/static.parastorage.com/services/tag-manager-client/1.920.0/siteTags.bundle.min.js	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/)
06:07:48	2155/2155	---M--	200	added ('OK')	image/png	date:Fri,%2031%20Jan%202025%2023:07:47%20GMT	https://static.wixstatic.com/media/7817a7_6c65b4b0990f44d68fd18a36084ef6c1~mv2.png/v1/fill/w_49,h_28,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/7817a7_6c65b4b0990f44d68fd18a36084ef6c1~mv2.png	C:/My%20Web%20Sites/harrypotter/static.wixstatic.com/media/7817a7_6c65b4b0990f44d68fd18a36084ef6c1_mv2.png/v1/fill/w_49,h_28,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/7817a7_6c65b4b0990f44d68fd18a36084ef6c1_mv2.png	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/copy-of-home)
06:07:49	50059/50059	---M--	200	added ('OK')	image/png	date:Fri,%2031%20Jan%202025%2023:07:48%20GMT	https://static.wixstatic.com/media/7817a7_6729818ce01b49139beecfcd719c1672~mv2.png/v1/fill/w_490,h_164,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/logo%20hp.png	C:/My%20Web%20Sites/harrypotter/static.wixstatic.com/media/7817a7_6729818ce01b49139beecfcd719c1672_mv2.png/v1/fill/w_490,h_164,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/logo%20hp.png	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/copy-of-home)
06:07:50	2957/2957	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Jan%202025%2023:07:49%20GMT	https://static.wixstatic.com/media/7817a7_e1517b2173ca4ed7b4b3c3913e013948~mv2.jpg/v1/fill/w_147,h_83,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/7817a7_e1517b2173ca4ed7b4b3c3913e013948~mv2.jpg	C:/My%20Web%20Sites/harrypotter/static.wixstatic.com/media/7817a7_e1517b2173ca4ed7b4b3c3913e013948_mv2.jpg/v1/fill/w_147,h_83,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/7817a7_e1517b2173ca4ed7b4b3c3913e013948_mv2.jpg	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/copy-of-cast)
06:07:51	2728/2728	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Jan%202025%2023:07:50%20GMT	https://static.wixstatic.com/media/7817a7_d03324bae0c043728ce728ce3837ac05~mv2.jpg/v1/fill/w_147,h_83,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/7817a7_d03324bae0c043728ce728ce3837ac05~mv2.jpg	C:/My%20Web%20Sites/harrypotter/static.wixstatic.com/media/7817a7_d03324bae0c043728ce728ce3837ac05_mv2.jpg/v1/fill/w_147,h_83,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/7817a7_d03324bae0c043728ce728ce3837ac05_mv2.jpg	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/copy-of-synopsis)
06:07:51	541892/541892	---M--	200	added ('OK')	image/png	date:Fri,%2031%20Jan%202025%2023:07:49%20GMT	https://static.wixstatic.com/media/7817a7_15585a93c9f14ad99012bc0abcae65c8~mv2.png/v1/fill/w_773,h_374,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/4789c7f4-6742-4e19-80eb-e6b4b4341fd5.png	C:/My%20Web%20Sites/harrypotter/static.wixstatic.com/media/7817a7_15585a93c9f14ad99012bc0abcae65c8_mv2.png/v1/fill/w_773,h_374,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/4789c7f4-6742-4e19-80eb-e6b4b4341fd5.png	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/copy-of-cast)
06:07:52	95600/95600	---M--	200	added ('OK')	image/png	date:Fri,%2031%20Jan%202025%2023:07:51%20GMT	https://static.wixstatic.com/media/7817a7_b522e6ae3abc4e4ba1872895c957325f~mv2.png/v1/crop/x_7,y_0,w_816,h_967/fill/w_220,h_261,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/7817a7_b522e6ae3abc4e4ba1872895c957325f~mv2.png	C:/My%20Web%20Sites/harrypotter/static.wixstatic.com/media/7817a7_b522e6ae3abc4e4ba1872895c957325f_mv2.png/v1/crop/x_7,y_0,w_816,h_967/fill/w_220,h_261,al_c,q_85,usm_0.66_1.00_0.01,enc_av/7817a7_b522e6ae3abc4e4ba1872895c957325f_mv2.1f.delay	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/copy-of-synopsis)
06:07:52	146372/146372	---M--	200	added ('OK')	image/png	date:Fri,%2031%20Jan%202025%2023:07:51%20GMT	https://static.wixstatic.com/media/7817a7_d9b90746f5a741f2a1cec0f0b18259af~mv2.png/v1/fill/w_362,h_362,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/7817a7_d9b90746f5a741f2a1cec0f0b18259af~mv2.png	C:/My%20Web%20Sites/harrypotter/static.wixstatic.com/media/7817a7_d9b90746f5a741f2a1cec0f0b18259af_mv2.png/v1/fill/w_362,h_362,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/7817a7_d9b90746f5a741f2a1cec0f0b18259af_mv2.png	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/copy-of-synopsis)
06:07:53	18935/18935	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Jan%202025%2023:07:52%20GMT	https://static.wixstatic.com/media/7817a7_b606eda608b5463aa170318f90df68a5~mv2.jpg/v1/crop/x_10,y_0,w_2182,h_2607/fill/w_220,h_263,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Greta.jpg	C:/My%20Web%20Sites/harrypotter/static.wixstatic.com/media/7817a7_b606eda608b5463aa170318f90df68a5_mv2.jpg/v1/crop/x_10,y_0,w_2182,h_2607/fill/w_220,h_263,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Greta.jpg	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/copy-of-synopsis)
06:07:53	72066/72066	---M--	200	added ('OK')	image/png	date:Fri,%2031%20Jan%202025%2023:07:52%20GMT	https://static.wixstatic.com/media/7817a7_05325e94f06c4c44af3e6f61c0d47201~mv2.png/v1/crop/x_0,y_2,w_368,h_451/fill/w_214,h_262,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Nicho.png	C:/My%20Web%20Sites/harrypotter/static.wixstatic.com/media/7817a7_05325e94f06c4c44af3e6f61c0d47201_mv2.png/v1/crop/x_0,y_2,w_368,h_451/fill/w_214,h_262,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Nicho.png	(from https://darrenjames2223.wixsite.com/harry-potter-xii2/copy-of-synopsis)
